url,status,canonical_observed,robots_observed,classification
https://nexishub.vercel.app,200,https://nexishub.vercel.app,index follow,core-public
https://nexishub.vercel.app/products,200,https://nexishub.vercel.app/products,index follow,core-public
https://nexishub.vercel.app/products/sitenexis,200,https://nexishub.vercel.app/products/sitenexis,index follow,core-public
https://nexishub.vercel.app/products/pnyx,200,https://nexishub.vercel.app/products/pnyx,index follow,core-public
https://nexishub.vercel.app/studio,200,https://nexishub.vercel.app/studio,index follow,core-public
https://nexishub.vercel.app/about,200,https://nexishub.vercel.app/about,index follow,core-public
https://nexishub.vercel.app/blog,200,https://nexishub.vercel.app/blog,index follow,editorial-hub
https://nexishub.vercel.app/research,200,https://nexishub.vercel.app/research,index follow,research-hub
https://nexishub.vercel.app/research/ai-visibility-index,200,https://nexishub.vercel.app/research/ai-visibility-index,index follow,research-publication
https://nexishub.vercel.app/research/roadmap,200,https://nexishub.vercel.app/research/roadmap,index follow,research-roadmap
https://nexishub.vercel.app/research/publications,200,https://nexishub.vercel.app/research/publications,index follow,research-archive
https://nexishub.vercel.app/research/search,200,https://nexishub.vercel.app,index follow,contradiction-fixed-in-code
https://nexishub.vercel.app/contact,200,https://nexishub.vercel.app/contact,index follow,core-public
https://nexishub.vercel.app/legal,200,https://nexishub.vercel.app/legal,index follow,legal-draft
https://nexishub.vercel.app/legal/privacy,200,https://nexishub.vercel.app/legal/privacy,index follow,legal-draft
https://nexishub.vercel.app/legal/terms,200,https://nexishub.vercel.app/legal/terms,index follow,legal-draft
https://nexishub.vercel.app/legal/cookies,200,https://nexishub.vercel.app/legal/cookies,index follow,legal-draft
https://nexishub.vercel.app/blog/complete-guide-ai-software-development,200,https://nexishub.vercel.app/blog/complete-guide-ai-software-development,index follow,blog
https://nexishub.vercel.app/blog/complete-guide-ai-visibility,200,https://nexishub.vercel.app/blog/complete-guide-ai-visibility,index follow,blog
https://nexishub.vercel.app/blog/ai-visibility-vs-traditional-seo,200,https://nexishub.vercel.app/blog/ai-visibility-vs-traditional-seo,index follow,blog
https://nexishub.vercel.app/blog/ai-readable-website-architecture,200,https://nexishub.vercel.app/blog/ai-readable-website-architecture,index follow,blog
https://nexishub.vercel.app/blog/internal-linking-ai-discovery,200,https://nexishub.vercel.app/blog/internal-linking-ai-discovery,index follow,blog
https://nexishub.vercel.app/blog/structured-data-ai-machine-trust,200,https://nexishub.vercel.app/blog/structured-data-ai-machine-trust,index follow,blog
https://nexishub.vercel.app/blog/entity-clarity-ai-systems,200,https://nexishub.vercel.app/blog/entity-clarity-ai-systems,index follow,blog
https://nexishub.vercel.app/blog/content-structure-ai-retrieval,200,https://nexishub.vercel.app/blog/content-structure-ai-retrieval,index follow,blog
https://nexishub.vercel.app/blog/create-citation-ready-content,200,https://nexishub.vercel.app/blog/create-citation-ready-content,index follow,blog
https://nexishub.vercel.app/blog/technical-ai-crawlability-checklist,200,https://nexishub.vercel.app/blog/technical-ai-crawlability-checklist,index follow,blog
https://nexishub.vercel.app/blog/rag-search-content-discovery,200,https://nexishub.vercel.app/blog/rag-search-content-discovery,index follow,blog
https://nexishub.vercel.app/blog/how-ai-platforms-discover-sources,200,https://nexishub.vercel.app/blog/how-ai-platforms-discover-sources,index follow,blog
https://nexishub.vercel.app/blog/measure-ai-visibility,200,https://nexishub.vercel.app/blog/measure-ai-visibility,index follow,blog
https://nexishub.vercel.app/blog/why-content-becomes-ai-invisible,200,https://nexishub.vercel.app/blog/why-content-becomes-ai-invisible,index follow,blog
https://nexishub.vercel.app/blog/practical-geo-strategy,200,https://nexishub.vercel.app/blog/practical-geo-strategy,index follow,blog
https://nexishub.vercel.app/blog/90-day-ai-visibility-roadmap,200,https://nexishub.vercel.app/blog/90-day-ai-visibility-roadmap,index follow,blog
https://nexishub.vercel.app/blog/how-ai-systems-discover-websites,200,https://nexishub.vercel.app/blog/how-ai-systems-discover-websites,index follow,blog
https://nexishub.vercel.app/blog/what-makes-website-citable-by-ai,200,https://nexishub.vercel.app/blog/what-makes-website-citable-by-ai,index follow,blog
https://nexishub.vercel.app/blog/structured-data-for-machine-understanding,200,https://nexishub.vercel.app/blog/structured-data-for-machine-understanding,index follow,blog
https://nexishub.vercel.app/blog/why-traditional-seo-does-not-explain-ai-visibility,200,https://nexishub.vercel.app/blog/why-traditional-seo-does-not-explain-ai-visibility,index follow,blog
https://nexishub.vercel.app/blog/retrieval-ranking-recommendation-ai-search,200,https://nexishub.vercel.app/blog/retrieval-ranking-recommendation-ai-search,index follow,blog
https://nexishub.vercel.app/blog/audit-framework-ai-readable-websites,200,https://nexishub.vercel.app/blog/audit-framework-ai-readable-websites,index follow,blog
https://nexishub.vercel.app/blog/machine-trust-without-measuring-truth,200,https://nexishub.vercel.app/blog/machine-trust-without-measuring-truth,index follow,blog
https://nexishub.vercel.app/blog/evidence-first-content-human-machine-readers,200,https://nexishub.vercel.app/blog/evidence-first-content-human-machine-readers,index follow,blog
https://nexishub.vercel.app/blog/technical-anatomy-machine-discoverable-website,200,https://nexishub.vercel.app/blog/technical-anatomy-machine-discoverable-website,index follow,blog
https://nexishub.vercel.app/blog/entity-clarity-missing-layer-ai-search,200,https://nexishub.vercel.app/blog/entity-clarity-missing-layer-ai-search,index follow,blog
